data_hoje,kg_descongelar_hoje D1,kg_em_descongelamento D2,kg_pronto_para_venda D3,caixas_equivalentes,idade_lote,alerta_sobra_ontem
2025-06-23,100.05550039862369,128.25,94.06550039862368,7,2 dias,26.64 kg
2025-06-24,133.59,126.7,128.25,9,2 dias,Não
2025-06-25,127.94,133.59,126.7,9,2 dias,Não
2025-06-26,128.36,127.94,133.59,9,2 dias,Não
2025-06-27,127.18,128.36,127.94,9,2 dias,Não
2025-06-28,121.25,127.18,128.36,8,2 dias,Não
2025-06-29,128.79,121.25,127.18,9,2 dias,Não
2025-06-30,127.24,128.79,121.25,9,2 dias,Não
2025-07-01,0.0,0.0,0.0,0,N/A,Não
2025-07-02,0.0,0.0,0.0,0,N/A,Não
